code,phrase,employee classification rate
8387(1),"AUTOMOBILE OR TRUCK GASOLINE SERVICE STATIONS all employees including accessories and spare parts departments and estimators, service writers, customer service representatives and cashiers N.O.C.",$3.02
8370,"AUTOMOBILE OR TRUCK RADIO, ALARM OR ELECTRONIC EQUIPMENT INSTALLATION, SERVICE OR REPAIR shop or outside",$1.88
3828,"AUTOMOBILE OR TRUCK PARTS REBUILDING including incidental machining",$3.43
8392,"AUTOMOBILE OR TRUCK STORAGE GARAGES OR PARKING STATIONS OR LOTS no repair including cashiers",$2.65
8389,"AUTOMOBILE OR TRUCK REPAIR FACILITIES no retail gasoline salesincluding estimators, service writers and customer service representatives N.O.C.",$2.98
8397,"AUTOMOBILE OR TRUCK TRANSMISSION REPAIRING AND REBUILDING including removal and installation operationsincluding estimators, service writers and customer service representatives",$2.81
7227,"AUTOMOBILE OR TRUCK TOWING, ROADSIDE ASSISTANCE OR FREEWAY SERVICE PATROL for vehicles not owned by employer",$7.01
3840,"AUTOMOBILE, TRUCK OR MOTORCYCLE PARTS MFG. N.O.C.",$3.88
8387(3),"AUTOMOBILE OR TRUCK WASHING FACILITIES including customer service representatives and cashiers N.O.C.",$3.02
9522(3),"AUTOMOBILE UPHOLSTERING installation or repair",$6.79
8390,"AUTOMOBILE, TRUCK OR VAN CONVERSION OR CUSTOMIZING all operations including estimators and customer service representatives who inspect vehicles",$2.83
4279(2),"BAG MFG. paper",$4.77
2576,"AWNING, TARP OR CANVAS GOODS MFG. N.O.C. shop only",$5.19
2683,"LUGGAGE MFG. hard case and framed",$4.60
4286,"BAG MFG. plastic",$5.72
8808,"BANKS all employees including appraisers, bank guards and attendants, field auditors, office machine repair, Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$0.43
9054,"SPAS OR BATHS including restaurant employees, retail store employees and receptionists",$3.80
9586,"BARBER SHOPS, HAIR STYLING SALONS AND PERSONAL APPEARANCE SERVICES including receptionists",$1.35
2163,"BOTTLING beverages no spirituous liquors, wine or beer",$5.64
7392,"BEER DEALERS all operations",$4.93
3647(1),"BATTERY MFG. storage including foundry operations",$4.94
8078(2),"BEVERAGE PREPARATION SHOPS not bars or taverns",$1.29
8847,"BEVERAGE CONTAINER COLLECTION OR REDEMPTION",$6.84
4512,"BIOMEDICAL RESEARCH LABORATORIES including outside operations",$0.21
9092(2),"BILLIARD HALLS including restaurant or tavern employees, retail store employees and counterpersons",$2.08
1330,"BLASTING N.O.C. all employees",$2.30
3110(3),"BLACKSMITHING",$5.48
8057,"BOAT DEALERS",$3.07
6834,"BOAT BUILDING OR REPAIRING including shop and yard work",$4.81
3726,"BOILER INSTALLATION, SERVICE OR REPAIR steam or hot water",$1.79
9016(4),"BOAT MARINA AND BOAT RENTAL OPERATION",$2.89
4299(2),"BOOKBINDING OPERATION all other employees including counterpersons and drivers and their helpers",$4.17
3620(1),"BOILER MFG. plate steel shop only",$5.74
2660,"BOOT OR SHOE MFG. OR REPAIRING",$7.05
8813(2),"BOOKBINDING OPERATION editing, designing, proofreading and photographic composing including Clerical Office Employees and Clerical Telecommuter Employees",$0.50
9092(1),"BOWLING CENTERS with or without billiard halls including restaurant or tavern employees, retail store employees and counterpersons",$2.08
4240,"BOX MFG. paper or cardboard rigid",$8.36
4243,"BOX MFG. paper or cardboard folding N.O.C.",$3.24
2081(1),"BUTCHERING including the handling of livestock",$10.05
8744,"BOY AND GIRL SCOUT COUNCILS district executives including Outside Salespersons",$0.33
2759,"WOODEN BOX OR CONTAINER MFG.",$7.02
2121,"BREWERIES",$2.53
9048(2),"BOY AND GIRL SCOUT COUNCILS all camp operations including Clerical Office Employees at camp locations",$2.70
5040(2),"THIS CLASSIFICATION HAS BEEN ELIMINATED EFFECTIVE 09/01/2021. BRIDGE BUILDING metal",$8.73
4041,"BRICK OR CLAY BUILDING PRODUCTS MFG. N.O.C. including construction and reconstruction of sheds and kilns",$3.06
1463(2),"BRIQUETTE MFG. coal or wood",$3.07
6003(3),"BRIDGE OR TRESTLE CONSTRUCTION wood all operations",$11.15
5130(2),"BUILDING AUTOMATION OR ENERGY MANAGEMENT CONTROL SYSTEMS INSTALLATION, SERVICE OR REPAIR including shop, yard or storage operations",$0.99
3372(3),"BUFFING OR POLISHING OF METAL shop only N.O.C.",$4.64
8740(3),"BUILDING OPERATION N.O.C. property management supervisors not resident managers or supervisors",$0.74
8232(2),"BUILDING MATERIAL DEALERS commercial including counterpersons",$5.34
4283,"BUILDING OR ROOFING PAPER OR FELT ASPHALT SATURATION",$2.68
9015(1),"BUILDING OPERATION N.O.C. all other employees including resident employees. When lodging is provided by the employer, the total remuneration shall include the market value of such lodging to the employee.",$4.53
0079(2),"BUSH BERRY CROPS",$2.73
7382,"BUS, SHUTTLE VAN OR LIMOUSINE OPERATIONS all employees",$6.21
4717,"BUTTER SUBSTITUTES MFG.",$3.94
5146(1),"CABINET, FIXTURE OR TRIM INSTALLATION N.O.C. At a particular job or location, Classification 5146(1) shall not be used for division of payroll in connection with Classifications 5403/5432, Carpentry, or 5632/5633, Steel Framing.",$4.37
2812,"CABINET MFG. wood including the manufacture of commercial or industrial fixtures",$5.07
9015(4),"CHURCHES, TEMPLES, MOSQUES AND SYNAGOGUES all employees other than clergy, professional assistants, organists, members of choir, Clerical Office Employees or Clerical Telecommuter Employees. When lodging is provided by the employer, the total remuneration shall include the market value of such lodging to the employee.",$4.53
3220,"CAN MFG.",$1.91
9048(1),"CAMPS recreational or educational all operations including Clerical Office Employees at camp locations",$2.70
9185,"CARNIVALS OR CIRCUSES all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$11.76
6361(1),"CANAL CONSTRUCTION all operations",$3.38
5403,"CARPENTRY including the installation of interior trim, doors and cabinet work in connection therewith employees whose regular hourly wage does not equal or exceed $35.00 per hour N.O.C.",$10.03
5432,"CARPENTRY including the installation of interior trim, , doors and cabinet work in connection therewith employees whose regular hourly wage equals or exceeds $35.00 per hour N.O.C. Assignment of this classification is subject to verification at the time of final audit that the employee's regular hourly wage equals or exceeds $35.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $35.00 per hour shall be classified as 5403, Carpentry.",$4.50
2584,"CARPET, RUG OR UPHOLSTERY CLEANING shop or outside",$5.36
2402,"CARPET OR RUG MFG. other than jute or hemp carpets or rugs",$8.66
5020,"CEILING INSTALLATION suspended panels",$3.36
4111(3),"CATHEDRAL OR ART GLASS PRODUCTS MFG. including glass manufacturing",$2.38
9220(1),"CEMETERY OPERATION all employees",$5.07
1701,"CEMENT MFG.",$2.75
4829,"CHEMICAL MFG. including mixing and packaging N.O.C.",$1.45
8850,"CHECK CASHERS all employees including tellers, guards, Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$1.84
5222(2),"CHIMNEY CONSTRUCTION industrial stone, brick or concrete",$5.61
4828,"CHEMICAL MIXING OR REPACKAGING N.O.C.",$2.34
8840,"CHURCHES, TEMPLES, MOSQUES AND SYNAGOGUES clergy, professional assistants, organists or members of choir including Clerical Office Employees and Clerical Telecommuter Employees. When lodging is provided by the employer, the total remuneration shall include the market value of such lodging to the employee.",$0.31
2702(2),"LAND CLEARING all operations",$15.83
4000(2),"CLAY DIGGING including construction, repair and maintenance of all buildings, structures or equipment and the installation of machinery",$2.39
9011(2),"COMMERCIAL AND RESIDENTIAL MIXED-USE BUILDING OPERATION not Homeowners Associations all other employees including resident employees and resident Clerical Office Employees. When lodging is provided by the employer, the total remuneration shall include the market value of such lodging to the employee.",$3.47
8871,"CLERICAL TELECOMMUTER EMPLOYEES N.O.C.",$0.21
8810,"CLERICAL OFFICE EMPLOYEES N.O.C.",$0.21
3131(1),"CLOTHING BUTTON, FASTENER OR ZIPPER MFG.",$4.12
3383(2),"CLOCK MFG. including foundry operations",$3.07
9061,"CLUBS N.O.C. all employees including front desk employees and restaurant or tavern employees",$3.30
2501(1),"CLOTHING MFG. including embroidery manufacturing",$5.00
9067(2),"CLUBS boys and girls all employees including front desk employees, teachers and instructors",$1.50
9067(1),"CLUBS community health and wellness all employees including front desk employees, teachers and instructors",$1.50
9069,"CLUBS gaming including front desk employees and restaurant or tavern employees",$3.78
9060,"CLUBS country or golf including front desk employees and restaurant or tavern employees",$3.12
7207(2),"CLUBS riding all employees including front desk employees",$7.55
9053(5),"CLUBS racquet sports including restaurant employees, retail store employees and receptionists",$1.51
1463(3),"COKE MFG. by-product ovens",$3.07
2881(2),"COFFIN OR CASKET MFG. OR ASSEMBLING wood",$5.15
9101,"COLLEGES OR SCHOOLS private not automobile schools all employees other than professors, teachers, or academic professional employees including cafeterias",$4.02
8868,"COLLEGES OR SCHOOLS private not automobile schools professors, teachers or academic professional employees",$0.66
8740(7),"COMMERCIAL AND RESIDENTIAL MIXED-USE BUILDING OPERATION not Homeowners Associations property management supervisors not resident managers or supervisors",$0.74
8740(2),"COMMERCIAL PROPERTIES N.O.C. property management supervisors",$0.74
9009,"COMMERCIAL PROPERTIES N.O.C. all other employees",$2.65
6325,"CONDUIT CONSTRUCTION OR UNDERGROUND WIRING including tunneling at street crossings",$2.88
3070,"COMPUTER MEMORY DISK MFG. rigid",$0.28
5195,"COMMUNICATIONS CABLING within buildings including shop, yard or storage operations",$2.95
4250(2),"COMPUTER PRINTING OR TYPEWRITER RIBBON MFG. OR REFURBISHING",$3.76
5193,"COMPUTER OR TELEPHONE SYSTEM OR EQUIPMENT INSTALLATION, SERVICE OR REPAIR shop or outside",$0.97
3681(2),"COMPUTER OR COMPUTER PERIPHERAL EQUIPMENT MFG. N.O.C.",$0.68
8859(1),"COMPUTER PROGRAMMING OR SOFTWARE DEVELOPMENT all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons. The entire remuneration of each employee shall be included, subject to a maximum of $144,300 per year. When the policy is in force for less than a 12-month period, the maximum payroll amount shall be prorated based upon the number of weeks in the policy period.",$0.04
5213,"CONCRETE CONSTRUCTION N.O.C.",$4.44
5222(1),"CONCRETE CONSTRUCTION in connection with bridges or culverts where clearance exceeds 10 feet at any point or entire distance between terminal abutments exceeds 20 feet",$5.61
5205(2),"CONCRETE OR CEMENT WORK pouring or finishing of concrete floor slabs, poured in place and on the ground, and concrete slab-type foundations, for other than concrete buildings or structural steel buildings of multi-story construction including the making or stripping of forms employees whose regular hourly wage equals or exceeds $28.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employees regular hourly wage equals or exceeds $28.00 per hour.",$4.23
5029,"CONCRETE OR ASPHALT SAWING OR DRILLING N.O.C.",$4.82
5205(1),"CONCRETE OR CEMENT WORK pouring or finishing of concrete sidewalks, driveways, patios, curbs or gutters including the making or stripping of forms employees whose regular hourly wage equals or exceeds $28.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employees regular hourly wage equals or exceeds $28.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $28.00 per hour shall be classified as 5201(1), Concrete or Cement Work.",$4.23
5201(2),"CONCRETE OR CEMENT WORK pouring or finishing of concrete floor slabs, poured in place and on the ground, and concrete slab-type foundations, for other than concrete buildings or structural steel buildings of multi-story construction including the making or stripping of forms employees whose regular hourly wage does not equal or exceed $28.00 per hour",$6.64
5214,"CONCRETE OR CEMENT WORK pouring or finishing of precast concrete wall panels, precast floor slabs or precast roof slabs at ground level and at job site including the making or stripping of forms",$4.42
5201(1),"CONCRETE OR CEMENT WORK pouring or finishing of concrete sidewalks, driveways, patios, curbs or gutters including the making or stripping of forms employees whose regular hourly wage does not equal or exceed $28.00 per hour",$6.64
5212,"CONCRETE PUMPING all operations",$5.78
4034,"CONCRETE PRODUCTS MFG. shop or yard work only",$4.69
8851,"CONGREGATE LIVING FACILITIES FOR THE ELDERLY including supervisors and receptionists no care or supervision of residents",$3.15
5610,"CONTRACTORS construction or erection all construction subcontracted all other employees",$3.48
8227,"CONSTRUCTION OR ERECTION PERMANENT YARDS OR SHOPS for maintenance of equipment or storage of material",$3.59
9059,"DAY CARE CENTERS child not residential care facilities all employees including receptionists",$2.07
8829(2),"CONVALESCENT NURSING FACILITIES including supervisors and receptionists",$3.09
5606,"CONTRACTORS construction or erection executive level supervisors no direct supervision division of a single employees payroll with any other classification is not permitted",$0.80
4244,"CORRUGATED, FIBER BOARD CONTAINER MFG. including corrugating or laminating of paper",$4.13
3066(4),"COPPERSMITHING shop only",$4.38
2211(1),"THIS CLASSIFICATION HAS BEEN ELIMINATED EFFECTIVE 01/01/2021. COTTON BATTING, WADDING OR WASTE MFG.",$10.43
4623,"COSMETIC, PERSONAL CARE OR PERFUMERY PRODUCTS MFG. production or packaging not manufacturing ingredients",$5.20
0401,"COTTON GIN OPERATION during both active and dormant seasons including installation or repair of equipment; yard employees; seed or fuel haulers",$6.45
0044,"COTTON FARMS",$4.49
4683(2),"COTTONSEED OIL MFG. OR REFINING during both active and dormant seasons including installation or repair of equipment; yard employees; seed or fuel haulers",$3.35
0400,"WAREHOUSES cotton including cotton compressing.",$3.42
8801,"CREDIT UNIONS all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$0.61
2063,"DAIRY PRODUCTS OR ICE MFG.",$3.82
6361(2),"CROSS-COUNTRY WATER PIPELINE CONSTRUCTION all operations",$3.38
9220(2),"CREMATORY OPERATION all employees",$5.07
6011,"DAM CONSTRUCTION all operations including dam repair, alteration, seismic retrofitting and demolition",$5.80
0036,"DAIRY FARMS",$6.65
9529(2),"DECORATING interior or exterior hanging flags or bunting for conventions or celebrations",$4.60
8839,"DENTISTS AND DENTAL SURGEONS all employees including Clerical Office Employees and Clerical Telecommuter Employees",$0.67
4692,"DENTAL LABORATORIES including foundry or casting operations",$1.39
4611,"DRUG, MEDICINE OR PHARMACEUTICAL PREPARATIONS MFG. compounding, blending or packaging only not manufacturing ingredients N.O.C.",$1.33
1925,"DIE CASTING MFG.",$9.80
7721(1),"DETECTIVE OR PRIVATE INVESTIGATIVE AGENCIES",$3.03
9403(3),"DOCUMENT DESTRUCTION including mobile paper shredding",$6.09
2142(2),"DISTILLING N.O.C.",$2.23
9016(2),"DOG SHOWS all employees other than kennel employees and employees engaged in the operation or maintenance of amusement devices, restaurants or retail stores",$2.89
8019(2),"DOCUMENT DUPLICATION OR PHOTOCOPYING SERVICE all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$1.64
5108,"DOOR INSTALLATION overhead doors",$7.71
5107,"DOOR, DOOR FRAME OR PRE-GLAZED WINDOW INSTALLATION not overhead doors",$4.26
3060(2),"DOOR OR WINDOW FRAME MFG. metal or plastic",$5.29
2806(1),"DOOR, SASH OR WINDOW MFG. wood",$4.81
3060(3),"DOOR OR WINDOW SCREEN MFG. metal or plastic framed",$5.29
3060(1),"DOOR OR WINDOW MFG. metal or plastic including shop glaziers",$5.29
2501(4),"TAILORING custom exclusively",$5.00
4000(4),"DREDGING including maintenance and repair of dredging equipment",$2.39
6235(3),"DRILLING geothermal wells including installation of casing",$3.36
6204,"DRILLING N.O.C. not geothermal, oil or gas producing, mining or quarrying",$6.24
2589(2),"DRY CLEANING N.O.C. including repairing or pressing, and cash and carry departments on plant premises",$4.11
2585(2),"DYEING including yarn or thread dyeing or finishing no yarn or thread manufacturing. This classification shall not be used for division of payroll in connection with any other classification (other than the Standard Exceptions or General Exclusions) unless the operations described by Classification 2585(2) constitute a separate and distinct enterprise having no connection with the operations covered by any other applicable classification.",$6.45
2589(1),"DRY CLEANING OR LAUNDRY retail including alterations, repairing or pressing, and cash and carry departments on premises",$4.11
8720(2),"ELEVATOR INSPECTING including Outside Salespersons no service inspections, oiling, adjusting or repairing",$1.42
3570,"ELECTRIC APPLIANCE MFG. N.O.C.",$3.37
7538,"ELECTRIC POWER LINE CONSTRUCTION by contractor",$2.30
3569,"ELECTRIC MOTOR MFG. OR REPAIR",$1.59
3643(2),"ELECTRIC CONTROL PANEL OR SWITCHGEAR MFG.",$2.06
3179,"ELECTRICAL APPARATUS MFG. N.O.C.",$3.06
3643(1),"ELECTRIC POWER OR TRANSMISSION EQUIPMENT MFG. N.O.C.",$2.06
3724(2),"ELECTRICAL MACHINERY OR AUXILIARY APPARATUS installation, service or repair including incidental wiring",$3.75
3568,"ELECTRICAL CONNECTOR MFG.",$2.29
5140,"ELECTRICAL WIRING within buildings including installation or repair of fixtures or appliances including shop, yard or storage operations employees whose regular hourly wage equals or exceeds $32.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employee's regular hourly wage equals or exceeds $32.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $32.00 per hour shall be classified as 5190, Electrical Wiring.",$1.45
3651,"ELECTRICAL WIRE HARNESS MFG.",$2.29
7539,"ELECTRIC POWER COMPANIES all operations including construction or extension of lines",$1.58
5190,"ELECTRICAL WIRING within buildings including installation or repair of fixtures or appliances including shop, yard or storage operations employees whose regular hourly wage does not equal or exceed $32.00 per hour",$3.76
4297(1),"ELECTRONIC PRE-PRESS all operations including Clerical Office Employees and Clerical Telecommuter Employees",$0.20
3178,"ELECTRONIC ELEMENT MFG. N.O.C.",$1.83
5160,"ELEVATOR ERECTION OR REPAIR",$1.56
3372(1),"ELECTROPLATING, ELECTROGALVANIZING OR ANODIZING",$4.64
8729,"ELEVATOR SERVICE INSPECTIONS, OILING AND ADJUSTING no repair",$0.78
3131(2),"ENGRAVING, LASER CUTTING OR LASER WELDING",$4.12
8601(1),"ENGINEERS consulting mechanical, civil, electrical or mining engineers or architects not engaged in actual construction or operation including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$0.29
7707,"FIREFIGHTING OPERATIONS volunteers, serving with or without remuneration",$264.27
8028,"EQUIPMENT OR MACHINERY RENTAL YARDS not dealers in new or used equipment all employees including counterpersons",$4.05
4251,"ENVELOPE MFG.",$3.29
1624(2),"EXCAVATION rock no tunneling",$3.30
9095,"EVENT MARKET, FESTIVAL OR TRADE SHOW OPERATION all employees N.O.C.",$3.32
6220(1),"EXCAVATION N.O.C. including borrowing, filling or backfilling employees whose regular hourly wage equals or exceeds $34.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employee's regular hourly wage equals or exceeds $34.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $34.00 per hour shall be classified as 6218(1), Excavation N.O.C.",$2.93
6218(1),"EXCAVATION N.O.C. including borrowing, filling or backfilling employees whose regular hourly wage does not equal or exceed $34.00 per hour",$5.10
7219(2),"EXPRESS COMPANIES including terminal employees and mechanics",$6.38
4771(1),"EXPLOSIVE MFG. N.O.C.",$1.29
0050,"FARM MACHINERY OPERATION by contractors including yard employees",$6.03
8116,"FARM MACHINERY DEALERS OR REPAIR FACILITIES shop or outside including demonstration",$2.65
2211(3),"THIS CLASSIFICATION HAS BEEN ELIMINATED EFFECTIVE 01/01/2021. FELTING MFG.",$10.43
2014(2),"FEED MFG. preparing or compounding feeds for livestock and poultry",$4.34
4239(2),"FIBER PRODUCTS MFG. wood",$2.65
6400,"FENCE CONSTRUCTION metal or wood",$4.82
7706,"FIREFIGHTING OPERATIONS not volunteers all employees of Fire Department",$4.83
0171,"FIELD CROPS",$5.14
2113,"FISH OR SEAFOOD PRODUCTS MFG. including packaging",$7.50
9521(2),"FLOOR COVERING installation",$4.63
8870,"FITNESS INSTRUCTION PROGRAMS OR STUDIOS all employees including receptionists",$0.86
2123,"FRUIT OR VEGETABLE PROCESSING fresh ready-to-eat",$5.20
0035,"FLORISTS cultivating or gardening",$4.49
5102(3),"THIS CLASSIFICATION HAS BEEN ELIMINATED EFFECTIVE 09/01/2021. FLOOR INSTALLATION elevated",$5.48
6504,"FOOD PRODUCTS MFG. OR PROCESSING N.O.C.",$6.09
2501(6),"FLOWER OR FLOWER ARRANGEMENT MFG. artificial",$5.00
3110(1),"FORGING WORKS drop or machine including trimming or grinding, heat treating and die making operations",$5.48
8601(4),"FOREST ENGINEERS including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$0.29
3339,"FOUNDRIES investment casting ferrous or nonferrous all operations including pattern and mold mfg.",$5.85
6258,"FOUNDATION PREPARATION WORK including foundation drilling all operations to completion of substructure",$5.32
3085,"FOUNDRIES nonferrous N.O.C.",$7.80
3081,"FOUNDRIES iron N.O.C.",$7.94
7360(2),"FREIGHT FORWARDERS OR CONSOLIDATORS N.O.C.",$4.94
3082,"FOUNDRIES steel castings",$12.13
2108,"FRUIT citrus fruit packing and handling including storage",$5.16
7360(1),"FREIGHT HANDLERS packing or handling merchandise at shipping or receiving terminals N.O.C.",$4.94
2107,"FRUIT fresh fruit packing and handling including storage N.O.C.",$3.72
2109,"FRUIT dried fruit packing and handling",$4.12
2117,"FRUIT OR VEGETABLE PROCESSING frozen",$6.56
2102,"FRUIT OR VEGETABLE EVAPORATION OR DEHYDRATING",$5.16
2116,"FRUIT OR VEGETABLE JUICE OR CONCENTRATE MFG.",$4.51
4740(3),"GASOLINE RECOVERY from casing head or natural gas",$0.99
2111(1),"FRUIT OR VEGETABLE PRESERVING including canning",$3.74
2111(3),"FRUIT OR VEGETABLE PICKLING",$3.74
9620,"FUNERAL DIRECTORS all employees including receptionists",$2.17
8232(3),"FUEL AND MATERIAL DEALERS N.O.C. including counterpersons",$5.34
2881(1),"FURNITURE ASSEMBLING wood including finishing",$5.15
3175,"FURNACE OR HEATER MFG.",$2.90
2883,"FURNITURE MFG. wood including assembling or finishing",$12.74
3076(1),"FURNITURE MFG. metal",$4.97
3372(4),"GALVANIZING hot dip",$4.64
8293(2),"FURNITURE MOVING including packing or handling",$9.37
9424(1),"GARBAGE OR REFUSE LANDFILL, TRANSFER STATION AND MATERIAL RECOVERY FACILITY OPERATIONS",$5.35
9403(1),"GARBAGE OR REFUSE COLLECTING",$6.09
